Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
              Loss: [Test: p = 1.02745, q = 1.24197],
              Effect: [ate-q], [train: 0.19337], [test: 0.19485]
********************************************************************************
Finish: epoch: 349 / 500, time cost: 37.90 sec, 
              Loss: [Train: p = 1.01376, q = 1.16606], 
              Loss: [Test: p = 1.02739, q = 1.24309],
              Effect: [ate-q], [train: 0.17657], [test: 0.17805]
********************************************************************************
Finish: epoch: 350 / 500, time cost: 38.10 sec, 
              Loss: [Train: p = 1.01382, q = 1.16553], 
              Loss: [Test: p = 1.02737, q = 1.24277],
              Effect: [ate-q], [train: 0.18829], [test: 0.18981]
********************************************************************************
Finish: epoch: 351 / 500, time cost: 40.05 sec, 
              Loss: [Train: p = 1.01363, q = 1.16523], 
              Loss: [Test: p = 1.02735, q = 1.24312],
              Effect: [ate-q], [train: 0.18918], [test: 0.19070]
********************************************************************************
Finish: epoch: 352 / 500, time cost: 37.90 sec, 
              Loss: [Train: p = 1.01358, q = 1.16539], 
              Loss: [Test: p = 1.02728, q = 1.24260],
              Effect: [ate-q], [train: 0.18390], [test: 0.18542]
********************************************************************************
Finish: epoch: 353 / 500, time cost: 38.28 sec, 
              Loss: [Train: p = 1.01348, q = 1.16442], 
              Loss: [Test: p = 1.02725, q = 1.24302],
              Effect: [ate-q], [train: 0.18038], [test: 0.18191]
********************************************************************************
Finish: epoch: 354 / 500, time cost: 37.79 sec, 
              Loss: [Train: p = 1.01351, q = 1.16366], 
              Loss: [Test: p = 1.02718, q = 1.24343],
              Effect: [ate-q], [train: 0.19265], [test: 0.19419]
********************************************************************************
Finish: epoch: 355 / 500, time cost: 39.87 sec, 
              Loss: [Train: p = 1.01342, q = 1.16328], 
              Loss: [Test: p = 1.02714, q = 1.24306],
              Effect: [ate-q], [train: 0.18132], [test: 0.18287]
********************************************************************************
Finish: epoch: 356 / 500, time cost: 37.81 sec, 
              Loss: [Train: p = 1.01327, q = 1.16344], 
              Loss: [Test: p = 1.02715, q = 1.24351],
              Effect: [ate-q], [train: 0.19646], [test: 0.19802]
********************************************************************************
Finish: epoch: 357 / 500, time cost: 37.28 sec, 
              Loss: [Train: p = 1.01327, q = 1.16323], 
              Loss: [Test: p = 1.02714, q = 1.24344],
              Effect: [ate-q], [train: 0.19129], [test: 0.19286]
********************************************************************************
Finish: epoch: 358 / 500, time cost: 37.22 sec, 
              Loss: [Train: p = 1.01319, q = 1.16239], 
              Loss: [Test: p = 1.02711, q = 1.24395],
              Effect: [ate-q], [train: 0.18634], [test: 0.18792]
********************************************************************************
Finish: epoch: 359 / 500, time cost: 39.77 sec, 
              Loss: [Train: p = 1.01315, q = 1.16218], 
              Loss: [Test: p = 1.02702, q = 1.24436],
              Effect: [ate-q], [train: 0.17821], [test: 0.17981]
********************************************************************************
Finish: epoch: 360 / 500, time cost: 37.72 sec, 
              Loss: [Train: p = 1.01311, q = 1.16184], 
              Loss: [Test: p = 1.02700, q = 1.24467],
              Effect: [ate-q], [train: 0.18602], [test: 0.18761]
********************************************************************************
Finish: epoch: 361 / 500, time cost: 37.90 sec, 
              Loss: [Train: p = 1.01301, q = 1.16087], 
              Loss: [Test: p = 1.02697, q = 1.24510],
              Effect: [ate-q], [train: 0.19605], [test: 0.19767]
********************************************************************************
Finish: epoch: 362 / 500, time cost: 37.72 sec, 
              Loss: [Train: p = 1.01301, q = 1.16040], 
              Loss: [Test: p = 1.02694, q = 1.24475],
              Effect: [ate-q], [train: 0.18130], [test: 0.18292]
********************************************************************************
Finish: epoch: 363 / 500, time cost: 37.54 sec, 
              Loss: [Train: p = 1.01286, q = 1.16031], 
              Loss: [Test: p = 1.02689, q = 1.24460],
              Effect: [ate-q], [train: 0.18288], [test: 0.18450]
********************************************************************************
Finish: epoch: 364 / 500, time cost: 39.84 sec, 
              Loss: [Train: p = 1.01286, q = 1.16006], 
              Loss: [Test: p = 1.02688, q = 1.24521],
              Effect: [ate-q], [train: 0.18735], [test: 0.18899]
********************************************************************************
Finish: epoch: 365 / 500, time cost: 37.65 sec, 
              Loss: [Train: p = 1.01271, q = 1.15953], 
              Loss: [Test: p = 1.02683, q = 1.24554],
              Effect: [ate-q], [train: 0.18861], [test: 0.19027]
********************************************************************************
Finish: epoch: 366 / 500, time cost: 37.79 sec, 
              Loss: [Train: p = 1.01269, q = 1.15894], 
              Loss: [Test: p = 1.02680, q = 1.24567],
              Effect: [ate-q], [train: 0.17589], [test: 0.17755]
********************************************************************************
Finish: epoch: 367 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.01254, q = 1.15899], 
              Loss: [Test: p = 1.02677, q = 1.24617],
              Effect: [ate-q], [train: 0.17107], [test: 0.17273]
********************************************************************************
Finish: epoch: 368 / 500, time cost: 40.06 sec, 
              Loss: [Train: p = 1.01259, q = 1.15786], 
              Loss: [Test: p = 1.02669, q = 1.24577],
              Effect: [ate-q], [train: 0.18757], [test: 0.18925]
********************************************************************************
Finish: epoch: 369 / 500, time cost: 38.14 sec, 
              Loss: [Train: p = 1.01247, q = 1.15768], 
              Loss: [Test: p = 1.02668, q = 1.24613],
              Effect: [ate-q], [train: 0.18838], [test: 0.19006]
********************************************************************************
Finish: epoch: 370 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.01239, q = 1.15724], 
              Loss: [Test: p = 1.02664, q = 1.24690],
              Effect: [ate-q], [train: 0.18311], [test: 0.18480]
********************************************************************************
Finish: epoch: 371 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.01234, q = 1.15675], 
              Loss: [Test: p = 1.02662, q = 1.24625],
              Effect: [ate-q], [train: 0.19421], [test: 0.19593]
********************************************************************************
Finish: epoch: 372 / 500, time cost: 39.91 sec, 
              Loss: [Train: p = 1.01229, q = 1.15601], 
              Loss: [Test: p = 1.02659, q = 1.24731],
              Effect: [ate-q], [train: 0.17682], [test: 0.17854]
********************************************************************************
Finish: epoch: 373 / 500, time cost: 37.93 sec, 
              Loss: [Train: p = 1.01210, q = 1.15569], 
              Loss: [Test: p = 1.02650, q = 1.24650],
              Effect: [ate-q], [train: 0.18788], [test: 0.18961]
********************************************************************************
Finish: epoch: 374 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.01214, q = 1.15583], 
              Loss: [Test: p = 1.02650, q = 1.24707],
              Effect: [ate-q], [train: 0.18873], [test: 0.19048]
********************************************************************************
Finish: epoch: 375 / 500, time cost: 37.95 sec, 
              Loss: [Train: p = 1.01205, q = 1.15527], 
              Loss: [Test: p = 1.02646, q = 1.24749],
              Effect: [ate-q], [train: 0.19947], [test: 0.20123]
********************************************************************************
Finish: epoch: 376 / 500, time cost: 37.66 sec, 
              Loss: [Train: p = 1.01194, q = 1.15532], 
              Loss: [Test: p = 1.02642, q = 1.24784],
              Effect: [ate-q], [train: 0.17693], [test: 0.17870]
********************************************************************************
Finish: epoch: 377 / 500, time cost: 39.87 sec, 
              Loss: [Train: p = 1.01188, q = 1.15427], 
              Loss: [Test: p = 1.02643, q = 1.24773],
              Effect: [ate-q], [train: 0.18620], [test: 0.18798]
********************************************************************************
Finish: epoch: 378 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.01189, q = 1.15354], 
              Loss: [Test: p = 1.02640, q = 1.24837],
              Effect: [ate-q], [train: 0.17347], [test: 0.17525]
********************************************************************************
Finish: epoch: 379 / 500, time cost: 37.90 sec, 
              Loss: [Train: p = 1.01186, q = 1.15406], 
              Loss: [Test: p = 1.02637, q = 1.24796],
              Effect: [ate-q], [train: 0.18919], [test: 0.19099]
********************************************************************************
Finish: epoch: 380 / 500, time cost: 37.56 sec, 
              Loss: [Train: p = 1.01175, q = 1.15290], 
              Loss: [Test: p = 1.02633, q = 1.24818],
              Effect: [ate-q], [train: 0.17807], [test: 0.17988]
********************************************************************************
Finish: epoch: 381 / 500, time cost: 40.13 sec, 
              Loss: [Train: p = 1.01164, q = 1.15255], 
              Loss: [Test: p = 1.02626, q = 1.24807],
              Effect: [ate-q], [train: 0.18511], [test: 0.18692]
********************************************************************************
Finish: epoch: 382 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.01163, q = 1.15162], 
              Loss: [Test: p = 1.02623, q = 1.24848],
              Effect: [ate-q], [train: 0.18439], [test: 0.18622]
********************************************************************************
Finish: epoch: 383 / 500, time cost: 38.06 sec, 
              Loss: [Train: p = 1.01169, q = 1.15105], 
              Loss: [Test: p = 1.02620, q = 1.24943],
              Effect: [ate-q], [train: 0.18962], [test: 0.19145]
********************************************************************************
Finish: epoch: 384 / 500, time cost: 37.66 sec, 
              Loss: [Train: p = 1.01153, q = 1.15113], 
              Loss: [Test: p = 1.02615, q = 1.24966],
              Effect: [ate-q], [train: 0.17952], [test: 0.18135]
********************************************************************************
Finish: epoch: 385 / 500, time cost: 39.77 sec, 
              Loss: [Train: p = 1.01152, q = 1.15132], 
              Loss: [Test: p = 1.02612, q = 1.24943],
              Effect: [ate-q], [train: 0.18301], [test: 0.18486]
********************************************************************************
Finish: epoch: 386 / 500, time cost: 37.31 sec, 
              Loss: [Train: p = 1.01135, q = 1.14994], 
              Loss: [Test: p = 1.02610, q = 1.25052],
              Effect: [ate-q], [train: 0.17172], [test: 0.17358]
********************************************************************************
Finish: epoch: 387 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.01127, q = 1.15029], 
              Loss: [Test: p = 1.02605, q = 1.24972],
              Effect: [ate-q], [train: 0.18349], [test: 0.18536]
********************************************************************************
Finish: epoch: 388 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.01129, q = 1.14952], 
              Loss: [Test: p = 1.02606, q = 1.25065],
              Effect: [ate-q], [train: 0.18845], [test: 0.19034]
********************************************************************************
Finish: epoch: 389 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.01119, q = 1.14885], 
              Loss: [Test: p = 1.02601, q = 1.25050],
              Effect: [ate-q], [train: 0.17704], [test: 0.17890]
********************************************************************************
Finish: epoch: 390 / 500, time cost: 40.14 sec, 
              Loss: [Train: p = 1.01114, q = 1.14857], 
              Loss: [Test: p = 1.02596, q = 1.25016],
              Effect: [ate-q], [train: 0.18242], [test: 0.18432]
********************************************************************************
Finish: epoch: 391 / 500, time cost: 37.61 sec, 
              Loss: [Train: p = 1.01108, q = 1.14805], 
              Loss: [Test: p = 1.02591, q = 1.25052],
              Effect: [ate-q], [train: 0.19331], [test: 0.19521]
********************************************************************************
Finish: epoch: 392 / 500, time cost: 37.48 sec, 
              Loss: [Train: p = 1.01105, q = 1.14747], 
              Loss: [Test: p = 1.02590, q = 1.25065],
              Effect: [ate-q], [train: 0.18912], [test: 0.19101]
********************************************************************************
Finish: epoch: 393 / 500, time cost: 37.29 sec, 
              Loss: [Train: p = 1.01100, q = 1.14689], 
              Loss: [Test: p = 1.02587, q = 1.25107],
              Effect: [ate-q], [train: 0.18374], [test: 0.18566]
********************************************************************************
Finish: epoch: 394 / 500, time cost: 39.66 sec, 
              Loss: [Train: p = 1.01088, q = 1.14655], 
              Loss: [Test: p = 1.02582, q = 1.25148],
              Effect: [ate-q], [train: 0.19510], [test: 0.19704]
********************************************************************************
Finish: epoch: 395 / 500, time cost: 37.69 sec, 
              Loss: [Train: p = 1.01079, q = 1.14597], 
              Loss: [Test: p = 1.02580, q = 1.25128],
              Effect: [ate-q], [train: 0.18370], [test: 0.18564]
********************************************************************************
Finish: epoch: 396 / 500, time cost: 37.81 sec, 
              Loss: [Train: p = 1.01076, q = 1.14576], 
              Loss: [Test: p = 1.02574, q = 1.25221],
              Effect: [ate-q], [train: 0.17542], [test: 0.17735]
********************************************************************************
Finish: epoch: 397 / 500, time cost: 37.86 sec, 
              Loss: [Train: p = 1.01073, q = 1.14564], 
              Loss: [Test: p = 1.02573, q = 1.25206],
              Effect: [ate-q], [train: 0.19533], [test: 0.19729]
********************************************************************************
Finish: epoch: 398 / 500, time cost: 37.89 sec, 
              Loss: [Train: p = 1.01053, q = 1.14555], 
              Loss: [Test: p = 1.02571, q = 1.25322],
              Effect: [ate-q], [train: 0.19081], [test: 0.19278]
********************************************************************************
Finish: epoch: 399 / 500, time cost: 39.68 sec, 
              Loss: [Train: p = 1.01053, q = 1.14433], 
              Loss: [Test: p = 1.02569, q = 1.25277],
              Effect: [ate-q], [train: 0.17350], [test: 0.17548]
********************************************************************************
Finish: epoch: 400 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.01051, q = 1.14367], 
              Loss: [Test: p = 1.02563, q = 1.25314],
              Effect: [ate-q], [train: 0.18936], [test: 0.19136]
********************************************************************************
Finish: epoch: 401 / 500, time cost: 37.46 sec, 
              Loss: [Train: p = 1.01040, q = 1.14286], 
              Loss: [Test: p = 1.02560, q = 1.25257],
              Effect: [ate-q], [train: 0.18448], [test: 0.18648]
********************************************************************************
Finish: epoch: 402 / 500, time cost: 37.34 sec, 
              Loss: [Train: p = 1.01028, q = 1.14345], 
              Loss: [Test: p = 1.02559, q = 1.25294],
              Effect: [ate-q], [train: 0.18222], [test: 0.18422]
********************************************************************************
Finish: epoch: 403 / 500, time cost: 39.42 sec, 
              Loss: [Train: p = 1.01027, q = 1.14309], 
              Loss: [Test: p = 1.02554, q = 1.25365],
              Effect: [ate-q], [train: 0.18507], [test: 0.18708]
********************************************************************************
Finish: epoch: 404 / 500, time cost: 37.57 sec, 
              Loss: [Train: p = 1.01022, q = 1.14267], 
              Loss: [Test: p = 1.02550, q = 1.25351],
              Effect: [ate-q], [train: 0.19555], [test: 0.19759]
********************************************************************************
Finish: epoch: 405 / 500, time cost: 38.02 sec, 
              Loss: [Train: p = 1.01011, q = 1.14124], 
              Loss: [Test: p = 1.02546, q = 1.25378],
              Effect: [ate-q], [train: 0.18174], [test: 0.18377]
********************************************************************************
Finish: epoch: 406 / 500, time cost: 37.83 sec, 
              Loss: [Train: p = 1.00998, q = 1.14097], 
              Loss: [Test: p = 1.02547, q = 1.25437],
              Effect: [ate-q], [train: 0.17721], [test: 0.17923]
********************************************************************************
Finish: epoch: 407 / 500, time cost: 39.45 sec, 
              Loss: [Train: p = 1.01000, q = 1.14052], 
              Loss: [Test: p = 1.02540, q = 1.25469],
              Effect: [ate-q], [train: 0.18188], [test: 0.18393]
********************************************************************************
Finish: epoch: 408 / 500, time cost: 37.07 sec, 
              Loss: [Train: p = 1.00996, q = 1.14024], 
              Loss: [Test: p = 1.02536, q = 1.25546],
              Effect: [ate-q], [train: 0.18389], [test: 0.18596]
********************************************************************************
Finish: epoch: 409 / 500, time cost: 37.10 sec, 
              Loss: [Train: p = 1.00993, q = 1.13992], 
              Loss: [Test: p = 1.02536, q = 1.25521],
              Effect: [ate-q], [train: 0.17711], [test: 0.17918]
********************************************************************************
Finish: epoch: 410 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.00988, q = 1.13864], 
              Loss: [Test: p = 1.02534, q = 1.25595],
              Effect: [ate-q], [train: 0.17385], [test: 0.17592]
********************************************************************************
Finish: epoch: 411 / 500, time cost: 37.93 sec, 
              Loss: [Train: p = 1.00982, q = 1.13858], 
              Loss: [Test: p = 1.02530, q = 1.25606],
              Effect: [ate-q], [train: 0.18758], [test: 0.18967]
********************************************************************************
Finish: epoch: 412 / 500, time cost: 39.76 sec, 
              Loss: [Train: p = 1.00976, q = 1.13794], 
              Loss: [Test: p = 1.02525, q = 1.25609],
              Effect: [ate-q], [train: 0.17687], [test: 0.17896]
********************************************************************************
Finish: epoch: 413 / 500, time cost: 37.94 sec, 
              Loss: [Train: p = 1.00956, q = 1.13717], 
              Loss: [Test: p = 1.02525, q = 1.25628],
              Effect: [ate-q], [train: 0.17609], [test: 0.17816]
********************************************************************************
Finish: epoch: 414 / 500, time cost: 38.11 sec, 
              Loss: [Train: p = 1.00969, q = 1.13730], 
              Loss: [Test: p = 1.02522, q = 1.25694],
              Effect: [ate-q], [train: 0.18841], [test: 0.19053]
********************************************************************************
Finish: epoch: 415 / 500, time cost: 38.68 sec, 
              Loss: [Train: p = 1.00959, q = 1.13686], 
              Loss: [Test: p = 1.02516, q = 1.25643],
              Effect: [ate-q], [train: 0.18223], [test: 0.18434]
********************************************************************************
Finish: epoch: 416 / 500, time cost: 40.22 sec, 
              Loss: [Train: p = 1.00947, q = 1.13584], 
              Loss: [Test: p = 1.02512, q = 1.25755],
              Effect: [ate-q], [train: 0.17606], [test: 0.17818]
********************************************************************************
Finish: epoch: 417 / 500, time cost: 38.44 sec, 
              Loss: [Train: p = 1.00940, q = 1.13597], 
              Loss: [Test: p = 1.02512, q = 1.25702],
              Effect: [ate-q], [train: 0.18499], [test: 0.18713]
********************************************************************************
Finish: epoch: 418 / 500, time cost: 38.93 sec, 
              Loss: [Train: p = 1.00931, q = 1.13560], 
              Loss: [Test: p = 1.02506, q = 1.25733],
              Effect: [ate-q], [train: 0.18800], [test: 0.19016]
********************************************************************************
Finish: epoch: 419 / 500, time cost: 38.06 sec, 
              Loss: [Train: p = 1.00938, q = 1.13484], 
              Loss: [Test: p = 1.02507, q = 1.25758],
              Effect: [ate-q], [train: 0.17666], [test: 0.17881]
********************************************************************************
Finish: epoch: 420 / 500, time cost: 40.07 sec, 
              Loss: [Train: p = 1.00924, q = 1.13483], 
              Loss: [Test: p = 1.02500, q = 1.25775],
              Effect: [ate-q], [train: 0.17749], [test: 0.17965]
********************************************************************************
Finish: epoch: 421 / 500, time cost: 37.87 sec, 
              Loss: [Train: p = 1.00913, q = 1.13394], 
              Loss: [Test: p = 1.02500, q = 1.25779],
              Effect: [ate-q], [train: 0.19387], [test: 0.19604]
********************************************************************************
Finish: epoch: 422 / 500, time cost: 37.94 sec, 
              Loss: [Train: p = 1.00912, q = 1.13341], 
              Loss: [Test: p = 1.02493, q = 1.25884],
              Effect: [ate-q], [train: 0.18112], [test: 0.18329]
********************************************************************************
Finish: epoch: 423 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.00904, q = 1.13318], 
              Loss: [Test: p = 1.02491, q = 1.25895],
              Effect: [ate-q], [train: 0.17611], [test: 0.17829]
********************************************************************************
Finish: epoch: 424 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.00894, q = 1.13260], 
              Loss: [Test: p = 1.02489, q = 1.25902],
              Effect: [ate-q], [train: 0.17525], [test: 0.17743]
********************************************************************************
Finish: epoch: 425 / 500, time cost: 39.61 sec, 
              Loss: [Train: p = 1.00894, q = 1.13172], 
              Loss: [Test: p = 1.02485, q = 1.25955],
              Effect: [ate-q], [train: 0.17994], [test: 0.18214]
********************************************************************************
Finish: epoch: 426 / 500, time cost: 37.64 sec, 
              Loss: [Train: p = 1.00885, q = 1.13175], 
              Loss: [Test: p = 1.02484, q = 1.25941],
              Effect: [ate-q], [train: 0.19439], [test: 0.19661]
********************************************************************************
Finish: epoch: 427 / 500, time cost: 37.57 sec, 
              Loss: [Train: p = 1.00887, q = 1.13077], 
              Loss: [Test: p = 1.02479, q = 1.26022],
              Effect: [ate-q], [train: 0.16638], [test: 0.16859]
********************************************************************************
Finish: epoch: 428 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.00873, q = 1.13070], 
              Loss: [Test: p = 1.02477, q = 1.26002],
              Effect: [ate-q], [train: 0.17887], [test: 0.18111]
********************************************************************************
Finish: epoch: 429 / 500, time cost: 39.61 sec, 
              Loss: [Train: p = 1.00876, q = 1.13001], 
              Loss: [Test: p = 1.02473, q = 1.26038],
              Effect: [ate-q], [train: 0.17460], [test: 0.17681]
********************************************************************************
Finish: epoch: 430 / 500, time cost: 37.40 sec, 
              Loss: [Train: p = 1.00875, q = 1.12975], 
              Loss: [Test: p = 1.02471, q = 1.26103],
              Effect: [ate-q], [train: 0.18412], [test: 0.18636]
********************************************************************************
Finish: epoch: 431 / 500, time cost: 37.53 sec, 
              Loss: [Train: p = 1.00849, q = 1.12961], 
              Loss: [Test: p = 1.02468, q = 1.26140],
              Effect: [ate-q], [train: 0.16916], [test: 0.17139]
********************************************************************************
Finish: epoch: 432 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.00857, q = 1.12894], 
              Loss: [Test: p = 1.02465, q = 1.26202],
              Effect: [ate-q], [train: 0.18558], [test: 0.18784]
********************************************************************************
Finish: epoch: 433 / 500, time cost: 40.06 sec, 
              Loss: [Train: p = 1.00842, q = 1.12779], 
              Loss: [Test: p = 1.02462, q = 1.26218],
              Effect: [ate-q], [train: 0.18051], [test: 0.18277]
********************************************************************************
Finish: epoch: 434 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.00847, q = 1.12770], 
              Loss: [Test: p = 1.02458, q = 1.26212],
              Effect: [ate-q], [train: 0.18230], [test: 0.18455]
********************************************************************************
Finish: epoch: 435 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.00836, q = 1.12506], 
              Loss: [Test: p = 1.02457, q = 1.26216],
              Effect: [ate-q], [train: 0.17159], [test: 0.17386]
********************************************************************************
Finish: epoch: 436 / 500, time cost: 37.88 sec, 
              Loss: [Train: p = 1.00829, q = 1.12500], 
              Loss: [Test: p = 1.02457, q = 1.26294],
              Effect: [ate-q], [train: 0.19060], [test: 0.19290]
********************************************************************************
Finish: epoch: 437 / 500, time cost: 39.48 sec, 
              Loss: [Train: p = 1.00806, q = 1.12451], 
              Loss: [Test: p = 1.02453, q = 1.26298],
              Effect: [ate-q], [train: 0.16776], [test: 0.17003]
********************************************************************************
Finish: epoch: 438 / 500, time cost: 39.88 sec, 
              Loss: [Train: p = 1.00812, q = 1.12406], 
              Loss: [Test: p = 1.02450, q = 1.26276],
              Effect: [ate-q], [train: 0.18482], [test: 0.18711]
********************************************************************************
Finish: epoch: 439 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.00815, q = 1.12352], 
              Loss: [Test: p = 1.02445, q = 1.26339],
              Effect: [ate-q], [train: 0.17437], [test: 0.17665]
********************************************************************************
Finish: epoch: 440 / 500, time cost: 37.89 sec, 
              Loss: [Train: p = 1.00802, q = 1.12309], 
              Loss: [Test: p = 1.02440, q = 1.26318],
              Effect: [ate-q], [train: 0.18547], [test: 0.18780]
********************************************************************************
Finish: epoch: 441 / 500, time cost: 38.01 sec, 
              Loss: [Train: p = 1.00792, q = 1.12285], 
              Loss: [Test: p = 1.02442, q = 1.26403],
              Effect: [ate-q], [train: 0.19008], [test: 0.19241]
********************************************************************************
Finish: epoch: 442 / 500, time cost: 40.12 sec, 
              Loss: [Train: p = 1.00791, q = 1.12234], 
              Loss: [Test: p = 1.02435, q = 1.26377],
              Effect: [ate-q], [train: 0.17353], [test: 0.17583]
********************************************************************************
Finish: epoch: 443 / 500, time cost: 38.14 sec, 
              Loss: [Train: p = 1.00778, q = 1.12169], 
              Loss: [Test: p = 1.02429, q = 1.26478],
              Effect: [ate-q], [train: 0.18116], [test: 0.18349]
********************************************************************************
Finish: epoch: 444 / 500, time cost: 38.17 sec, 
              Loss: [Train: p = 1.00788, q = 1.12137], 
              Loss: [Test: p = 1.02432, q = 1.26460],
              Effect: [ate-q], [train: 0.18219], [test: 0.18451]
********************************************************************************
Finish: epoch: 445 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.00772, q = 1.12070], 
              Loss: [Test: p = 1.02430, q = 1.26501],
              Effect: [ate-q], [train: 0.16174], [test: 0.16407]
********************************************************************************
Finish: epoch: 446 / 500, time cost: 39.92 sec, 
              Loss: [Train: p = 1.00767, q = 1.11978], 
              Loss: [Test: p = 1.02424, q = 1.26494],
              Effect: [ate-q], [train: 0.17772], [test: 0.18007]
********************************************************************************
Finish: epoch: 447 / 500, time cost: 38.05 sec, 
              Loss: [Train: p = 1.00762, q = 1.11986], 
              Loss: [Test: p = 1.02421, q = 1.26584],
              Effect: [ate-q], [train: 0.18868], [test: 0.19104]
********************************************************************************
Finish: epoch: 448 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.00755, q = 1.11946], 
              Loss: [Test: p = 1.02422, q = 1.26625],
              Effect: [ate-q], [train: 0.18206], [test: 0.18442]
********************************************************************************
Finish: epoch: 449 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.00753, q = 1.11873], 
              Loss: [Test: p = 1.02417, q = 1.26741],
              Effect: [ate-q], [train: 0.19543], [test: 0.19782]
********************************************************************************
Finish: epoch: 450 / 500, time cost: 37.87 sec, 
              Loss: [Train: p = 1.00742, q = 1.11809], 
              Loss: [Test: p = 1.02410, q = 1.26734],
              Effect: [ate-q], [train: 0.18865], [test: 0.19104]
********************************************************************************
Finish: epoch: 451 / 500, time cost: 39.82 sec, 
              Loss: [Train: p = 1.00742, q = 1.11810], 
              Loss: [Test: p = 1.02409, q = 1.26716],
              Effect: [ate-q], [train: 0.17862], [test: 0.18100]
********************************************************************************
Finish: epoch: 452 / 500, time cost: 37.30 sec, 
              Loss: [Train: p = 1.00722, q = 1.11766], 
              Loss: [Test: p = 1.02410, q = 1.26770],
              Effect: [ate-q], [train: 0.17981], [test: 0.18221]
********************************************************************************
Finish: epoch: 453 / 500, time cost: 37.39 sec, 
              Loss: [Train: p = 1.00739, q = 1.11735], 
              Loss: [Test: p = 1.02407, q = 1.26785],
              Effect: [ate-q], [train: 0.17059], [test: 0.17297]
********************************************************************************
Finish: epoch: 454 / 500, time cost: 37.32 sec, 
              Loss: [Train: p = 1.00723, q = 1.11635], 
              Loss: [Test: p = 1.02401, q = 1.26730],
              Effect: [ate-q], [train: 0.18619], [test: 0.18861]
********************************************************************************
Finish: epoch: 455 / 500, time cost: 39.41 sec, 
              Loss: [Train: p = 1.00721, q = 1.11570], 
              Loss: [Test: p = 1.02397, q = 1.26872],
              Effect: [ate-q], [train: 0.17491], [test: 0.17732]
********************************************************************************
Finish: epoch: 456 / 500, time cost: 37.59 sec, 
              Loss: [Train: p = 1.00716, q = 1.11523], 
              Loss: [Test: p = 1.02397, q = 1.26925],
              Effect: [ate-q], [train: 0.18564], [test: 0.18808]
********************************************************************************
Finish: epoch: 457 / 500, time cost: 37.49 sec, 
              Loss: [Train: p = 1.00702, q = 1.11497], 
              Loss: [Test: p = 1.02398, q = 1.26899],
              Effect: [ate-q], [train: 0.17243], [test: 0.17483]
********************************************************************************
Finish: epoch: 458 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.00694, q = 1.11406], 
              Loss: [Test: p = 1.02391, q = 1.26884],
              Effect: [ate-q], [train: 0.17929], [test: 0.18173]
********************************************************************************
Finish: epoch: 459 / 500, time cost: 40.18 sec, 
              Loss: [Train: p = 1.00685, q = 1.11371], 
              Loss: [Test: p = 1.02390, q = 1.27017],
              Effect: [ate-q], [train: 0.18178], [test: 0.18422]
********************************************************************************
Finish: epoch: 460 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.00684, q = 1.11311], 
              Loss: [Test: p = 1.02385, q = 1.26962],
              Effect: [ate-q], [train: 0.17846], [test: 0.18089]
********************************************************************************
Finish: epoch: 461 / 500, time cost: 35.96 sec, 
              Loss: [Train: p = 1.00683, q = 1.11274], 
              Loss: [Test: p = 1.02383, q = 1.27081],
              Effect: [ate-q], [train: 0.15604], [test: 0.15847]
********************************************************************************
Finish: epoch: 462 / 500, time cost: 37.48 sec, 
              Loss: [Train: p = 1.00676, q = 1.11218], 
              Loss: [Test: p = 1.02377, q = 1.27108],
              Effect: [ate-q], [train: 0.17458], [test: 0.17704]
********************************************************************************
Finish: epoch: 463 / 500, time cost: 38.19 sec, 
              Loss: [Train: p = 1.00673, q = 1.11183], 
              Loss: [Test: p = 1.02376, q = 1.27114],
              Effect: [ate-q], [train: 0.17521], [test: 0.17765]
********************************************************************************
Finish: epoch: 464 / 500, time cost: 39.43 sec, 
              Loss: [Train: p = 1.00666, q = 1.11186], 
              Loss: [Test: p = 1.02374, q = 1.27166],
